SEM_EXM_EXCH_ID, SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME,TICKER,EXPIRY
NSE,D,40874,OPTSTK,0,BERGEPAINT-Aug2024-780-CE,1320.0,BERGEPAINT 29 AUG 780 CALL,2024-08-29 14:30:00,780.0,CE,5.0,M,OP,,,BERGEPAINT,Aug2024
NSE,D,40879,OPTSTK,0,BERGEPAINT-Aug2024-780-PE,1320.0,BERGEPAINT 29 AUG 780 PUT,2024-08-29 14:30:00,780.0,PE,5.0,M,OP,,,BERGEPAINT,Aug2024
NSE,D,40887,OPTSTK,0,DIVISLAB-Aug2024-6350-CE,200.0,DIVISLAB 29 AUG 6350 CALL,2024-08-29 14:30:00,6350.0,CE,5.0,M,OP,,,DIVISLAB,Aug2024
NSE,D,40888,OPTSTK,0,DIVISLAB-Aug2024-6350-PE,200.0,DIVISLAB 29 AUG 6350 PUT,2024-08-29 14:30:00,6350.0,PE,5.0,M,OP,,,DIVISLAB,Aug2024
NSE,D,40891,OPTSTK,0,DIVISLAB-Aug2024-7100-CE,200.0,DIVISLAB 29 AUG 7100 CALL,2024-08-29 14:30:00,7100.0,CE,5.0,M,OP,,,DIVISLAB,Aug2024
NSE,D,40892,OPTSTK,0,DIVISLAB-Aug2024-7100-PE,200.0,DIVISLAB 29 AUG 7100 PUT,2024-08-29 14:30:00,7100.0,PE,5.0,M,OP,,,DIVISLAB,Aug2024
NSE,D,40903,OPTSTK,0,DRREDDY-Aug2024-8750-CE,125.0,DRREDDY 29 AUG 8750 CALL,2024-08-29 14:30:00,8750.0,CE,5.0,M,OP,,,DRREDDY,Aug2024
NSE,D,40905,OPTSTK,0,DRREDDY-Aug2024-8750-PE,125.0,DRREDDY 29 AUG 8750 PUT,2024-08-29 14:30:00,8750.0,PE,5.0,M,OP,,,DRREDDY,Aug2024
NSE,D,40906,OPTSTK,0,DRREDDY-Aug2024-9700-CE,125.0,DRREDDY 29 AUG 9700 CALL,2024-08-29 14:30:00,9700.0,CE,5.0,M,OP,,,DRREDDY,Aug2024
NSE,D,40907,OPTSTK,0,DRREDDY-Aug2024-9700-PE,125.0,DRREDDY 29 AUG 9700 PUT,2024-08-29 14:30:00,9700.0,PE,5.0,M,OP,,,DRREDDY,Aug2024
